,id,text
0,897075f1e4ea22bb8271b73f8c99437a,#环保科普#【锂电池不可怕其实挺耐用】网传锂电池有剧毒、短命、易爆炸，使用条件苛刻；无法回收利用，造成巨大环保压力……@人民日报“求证”栏目继续采访多位业内专家，探寻真相：锂电池不含剧毒物质，影响远小于铅酸电池。动力锂离子电池寿命可达2000次循环，电池管理系统可限制“过充过放”。因...
1,b5566a380a1771b889ab9e1e7ec8e0aa,【专家：网传锂电池“剧毒短命易爆炸”观点太片面】网传锂电池剧毒、短命、易爆炸……专家：锂电池不可怕，不含剧毒物质，影响远小于铅酸电池；动力锂离子电池寿命可达2000次循环，电池管理系统可限制“过充过放”；引发安全问题多是在产品缺陷和滥用的情况下。（人民日报）
2,b5566a380a1771b889ab9e1e7ec8e0aa,【专家：网传锂电池“剧毒短命易爆炸”观点太片面】网传锂电池剧毒、短命、易爆炸……专家：锂电池不可怕，不含剧毒物质，影响远小于铅酸电池；动力锂离子电池寿命可达2000次循环，电池管理系统可限制“过充过放”；引发安全问题多是在产品缺陷和滥用的情况下。（人民日报）
3,f11d00fa2c48990afa75c81e2ecebc9e,【专家：网传锂电池“剧毒短命易爆炸”观点太片面】网传锂电池剧毒、短命、易爆炸……专家：锂电池不可怕，不含剧毒物质，影响远小于铅酸电池；动力锂离子电池寿命可达2000次循环，电池管理系统可限制“过充过放”；引发安全问题多是在产品缺陷和滥用的情况下。（人民日报）http://t.cn/Rq4jpKP
4,2378c66bd3597cae97489e6b02a67e23,广为流传的网文对锂电池的质疑还包括：锂电池剧毒、短命、易爆炸，使用条件苛刻；无法回收利用，造成巨大环保压力……果真如此吗？人民日报“求证”栏目继续采访多位业内专家，探寻真相。锂电池是剧毒危险...|锂电池是剧...
5,f04b4cc3ad5d8b5b5e8a6d1179586249,太原一女大学生公园独自散步被强奸嫌疑人称自己是杀人犯-3月16日，太原迎泽警方通报，该局通过DNA比对，破获今年正月初五发生在该市某公园的强奸高校女学生案，案发一月后迎泽分局柳巷责任区刑警队于3月13日在北京将嫌疑人抓获。嫌疑人曾是因盗窃服刑20年，出狱...|太原一女大...
6,652f88f86c2b109dfb7ec80eb070fb89,天气很好，微风不噪，阳光温和，花开正艳，带上美丽心情，拿起手机，记录生活。-拍摄于太原迎泽公园|太原·大王...
7,b9d502a2858a997906113f1e38d3df3d,【紧急辟谣】今晚9：30左右网上微博微信出现大量传言称，“瓯海大道施工，挖掘机挖断电信光缆导致温州电信全线奔溃。”温州电信反馈：初步排查是局部网络设备出现故障，导致网络拥塞，目前正在机房全力抢修，与瓯海大道施工无关，具体原因正在进一步核查。经与市城投集团核实：“瓯海大道所有作业面都...
8,ca13d57e159bc39fec2a7d0fe266a78c,#地下车库的使用权到底是谁的终于有结果了##最近，网上吵的很热的一个话题，就南京星汉置业有限公司与星汉城市花园小区业主委员会的地下停车库之争案件，南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员会管理，全体业主享有地下停车库的权益。
9,3bf6b942d0d5f7a09b2f805a0dd0a807,住宅小区的车库属于小区业主，房产公司无权卖车位？全国首例小区车库之争一审落槌——本月12日，就南京星汉置业有限公司与星汉城市花园小区业主委员会的地下停车库之争案件，南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员会管理，全体业主享有地下停车库的权益。住宅小区...
10,819e8ccce76c37f6d62feb7fbc5e9c94,【判归业主系误传武汉小区停车位权属“四分天下”】近日，一则传闻在微信朋友圈传开，消息称南京鼓楼区法院近日审结了全国首例小区车库之争，某小区业主赢得了全部车位的所有权。（分享自@凤凰网）http://t.cn/RqJInBn
11,9a74d2d1ea3af47383244fbf4284093b,住宅小区的车库到底属于小区业主，还是属于房地产开发公司？全国首例小区车库之争一审落槌——本月12日，就南京星汉置业有限公司与星汉城市花园小区业主委员会的地下停车库之争案件，南京鼓楼区法院一审作...|车位属于业...
12,e65830141ffacbff3d36189ed5e5ba19,南京星汉置业有限公司与星汉城市花园小区业主委员会的地下停车库之争案件，南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员会管理，全体业主享有地下停车库的权益。…本来就因该是这样，业主买房时的公摊面积，已经把车库的面积算上了。怎么可以再单独出售。
13,bd880c99a2954d43515e9507303b03bf,全国首例小区车库之争，花落谁家？以生效判决为准！2016-04-09尚格法律人﻿作者：鼓小助来源：鼓楼法院（njglfy）鼓楼法院曾审理过全国首例小区车库之争...
14,ba30601239c41dd24acf0ca055bf9c38,【“全国首例小区车库之争落槌：归业主”系假消息】南京市鼓楼区法院曾审理过“全国首例小区车库之争”，因涉及到众多户主的利益，被广泛关注。近日，一些微信公众号重新对该案作出报道，称“南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员（分享自@凤凰网）http://t.cn/RqMLkTl
15,bd880c99a2954d43515e9507303b03bf,全国首例小区车库之争，花落谁家？以生效判决为准！2016-04-09尚格法律人﻿作者：鼓小助来源：鼓楼法院（njglfy）鼓楼法院曾审理过全国首例小区车库之争...
16,0a956ab3243711f09e542a0e75fe95c5,全国首例小区车库之争落槌——归业主这是假消息南京市鼓楼区法院曾审理过“全国首例小区车库之争”，因涉及到众多户主的利益，被广泛关注。近日，一些微信公众号重新对该案作出报道，称“南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员（分享自@凤凰房产）http://t.cn/RqIDyy9
17,bad3f0cc204923b922e4f3eee8a33187,住宅小区的车库到底属于小区业主，还是属于房地产开发公司？全国首例小区车库之争一审落槌——本月12日，就南京星汉置业有限公司与星汉城市花园小区业主委员会的地下停车库之争案件，南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员会管理，全体业主享有地下停车库的权益。...
18,ac7798444d5a331881b66d08b1dfe3bf,请大家转起来！住宅小区的车库到底属于小区业主，还是属于房地产开发公司？全国首例小区车库之争一审落槌就南京星汉置业有限公司与星汉城市花园小区业主委员会的地下停车库之争案件，南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员会管理，全体业主享有地下停车库|广州·东山...
19,97e5e94b33b3a63a1da2a98d8deb88f0,发表了博文《全国首例小区车库之争，法院到底将车库判给了谁？》来源/鼓楼法院（njglfy）全国首例小区车库之争因涉及到众多户主的利益，被广泛关注，一些媒体、公众号重新对该案件作出报道南京鼓楼区法院一审|全国首例小...
20,bad3f0cc204923b922e4f3eee8a33187,住宅小区的车库到底属于小区业主，还是属于房地产开发公司？全国首例小区车库之争一审落槌——本月12日，就南京星汉置业有限公司与星汉城市花园小区业主委员会的地下停车库之争案件，南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员会管理，全体业主享有地下停车库的权益。...
21,b504000401eb55b10533ee7fb1ee0f81,“小区车库判归业主”是误传http://t.cn/RqfqdOp。南京市鼓楼区法院曾审理过的全国首例小区车库之争，因涉及众多业主的利益，被广泛关注。昨日，一些微信公众号重新对该案件作出报道，称该案“一审落槌”。审理此案的鼓楼区法院在官方微信上发表《郑重声明》，表示“微信公众号上提到的判决内容，是并...
22,0625d4f3de32e5bec71ad77ca185b5ca,全国首例小区车库之争一审落槌—本月12日，就南京星汉置业有限公司与星汉城市花园小区业主委员会的地下停车库之争，南京鼓楼区法院一审作出判决：开发商将地下停车库移交给业主委员会管理，审判长盛皓从法律角度向记者详细解释判决理由，小区土地使用权为该小区业主享有，开发商不再享有小区土地使用权
